group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,COL1A1,93.11315,5.001504,0.0,0.0,0.9033189033189033,0.4172322218943641
0,COL3A1,87.280106,5.185648,0.0,0.0,0.8300464967131633,0.24561079964591326
0,FN1,82.582016,4.9094305,0.0,0.0,0.8056758056758057,0.2505532605488345
0,COL1A2,82.034195,4.9725127,0.0,0.0,0.7758537758537759,0.20345234582472707
0,COL6A2,74.26566,4.380178,0.0,0.0,0.7335257335257336,0.20500147536146357
0,DCN,71.59555,4.2819304,0.0,0.0,0.7171717171717171,0.2080628503983476
0,LUM,67.72134,4.2197475,0.0,0.0,0.6758056758056759,0.1922764827382709
0,COL6A3,65.605385,4.1937685,0.0,0.0,0.6463043129709797,0.17040424904101506
0,BGN,64.777725,3.9378443,0.0,0.0,0.6644219977553311,0.1961861906167011
0,IGFBP7,64.15451,3.7255492,0.0,0.0,0.7261503928170595,0.2658601357332546
0,COL6A1,61.36153,3.54393,0.0,0.0,0.6578483245149912,0.2357627618766598
0,TAGLN,59.69748,3.6772501,0.0,0.0,0.6408529741863075,0.22329595750958986
0,RARRES2,54.090755,3.3942661,0.0,0.0,0.5855379188712522,0.1884405429330186
0,MMP2,53.983906,3.7278686,0.0,0.0,0.5433702100368767,0.136360283269401
0,THBS2,52.516792,3.9507325,0.0,0.0,0.5103415103415103,0.10729566243729714
0,ACTA2,46.77336,3.554105,0.0,0.0,0.47586980920314254,0.12433608734139864
0,COL5A1,42.992413,3.1563783,0.0,0.0,0.4555074555074555,0.12721304219533786
0,VIM,41.860146,2.1864393,0.0,0.0,0.6727593394260061,0.38908970197698434
0,MGP,41.803265,2.8310304,0.0,0.0,0.5026455026455027,0.20544408380053114
0,TPM2,40.40417,2.6738274,0.0,0.0,0.4781144781144781,0.18777663027441724
0,THBS1,39.182495,2.713623,0.0,0.0,0.47266313932980597,0.18681764532310416
0,CALD1,37.513817,2.7967393,5.483992352593029e-308,2.4927237966331952e-306,0.4202340869007536,0.1336677485984066
0,TIMP1,36.53412,2.1099086,3.187376518104778e-292,1.38581587743686e-290,0.551386884720218,0.3108955444083801
0,TPM1,35.953945,2.2368999,4.391727935400923e-283,1.8298866397503846e-281,0.48132114798781467,0.2301563883151372
0,MYL9,35.737118,2.5056345,1.0488439607581056e-279,4.195375843032422e-278,0.43097643097643096,0.16918707583357923
0,COL5A2,32.391064,2.7660158,3.6671421600333198e-230,1.3582008000123406e-228,0.3525733525733526,0.10235320153437592
0,LGALS1,31.811235,2.0046542,4.5265126751957836e-222,1.6166116697127798e-220,0.45695045695045694,0.2279064620832104
0,COL4A2,31.318787,2.3132806,2.589849946445709e-215,8.930517056709342e-214,0.3950617283950617,0.15849070522277958
0,COL4A1,30.923292,2.3154218,5.809591483651174e-210,1.9365304945503914e-208,0.3913740580407247,0.15542933018589555
0,MXRA8,26.92507,2.3218238,1.1175462361117006e-159,3.19298924603343e-158,0.3195446528779862,0.10969312481557981
